Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_36f0f7c6		{color=#888888}{i}I have changed my name so often...{/i}{/color}	game/script.rpy	631	"[what]"
start_b53b0251		{color=#888888}{i}Не помню, что там было дальше, да и вряд ли следующие строчки относятся ко мне. Было очевидно, что "война" проиграна и я "перешёл границу" снова.{/i}{/color}	game/script.rpy	632	"[what]"
start_5bec7fd7		{color=#888888}{i}Система имеет слепые зоны, и кто я такой, чтобы этим не пользоваться. Мне совсем не нужно быть испачканным в политическом скандале.{/i}{/color}	game/script.rpy	633	"[what]"
start_3db6b2a4		{color=#888888}{i}Я этого не хочу, тем более сам скандал не мал, хоть и не ужасен — о нём вскоре забудут.{/i}{/color}	game/script.rpy	634	"[what]"
start_fcc637f1		{color=#888888}{i}Этот скандал, достаточно большой, чтобы его обсуждала вся страна, но недостаточно, чтобы этим заинтересовалась PANGAEA, лишь способ растормошить народ.{/i}{/color}	game/script.rpy	635	"[what]"
start_7ce83de8		{color=#888888}{i}Говорят, что сегодня ночью Бюро собирается обнародовать восстановленные с Фаррелловского компьютера данные.{/i}{/color}	game/script.rpy	636	"[what]"
start_efa1bab8		{color=#888888}{i}Бедный Исак Фаррелл, хоть стоит признать, что он был хорошим бухгалтером, не знал, что данные недостаточно просто "удалить".{/i}{/color}	game/script.rpy	637	"[what]"
start_6024b7b8		{color=#888888}{i}Их нужно было снести напрочь, а так он сделал большой подарок Бюро, которое дополнительно навесило на него статью за сокрытие улик.{/i}{/color}	game/script.rpy	638	"[what]"
start_b3de6a78		{color=#888888}{i}Хотя, вряд ли ему сейчас вообще есть до этого дело — мёртвые не нервничают.{/i}{/color}	game/script.rpy	639	"[what]"
start_9c6ae52b		{color=#888888}{i}К утру коридоры конгресса будут залиты кровью — это неизбежно, такие дела не остаются безнаказанными и в миг бесследно не забываются.{/i}{/color}	game/script.rpy	640	"[what]"
start_45a8e498		{color=#888888}{i}Впрочем, к чёрту политику, меня сейчас интересует другое: чип, переданный Паяцем. Что это вообще и зачем он нужен? На себе я его испытать не могу ввиду отсутствия у самого наномашин, значит придется как-то догадываться самому.{/i}{/color}	game/script.rpy	641	"[what]"
start_b0bc0791		{color=#888888}{i}Вдруг я ненароком поднёс чип к виску.{/i}{/color}	game/script.rpy	642	"[what]"
start_47499e7b		{color=#888888}{i}Что произошло после этого?{/i}{/color}	game/script.rpy	645	"[what]"
start_a5acc4ca		{size=+100}{color=#888888}{i}Я увидел АД.{/i}{/color}	game/script.rpy	650	"[what]"
cycle1_cb865886		{color=#888888}{i} Проснувшись утром, я заметил множественные следствия проникновения в мои апартаменты: разбросанные вещи, разбитую технику и так далее.	game/script.rpy	664	"[what]"
cycle1_4531e07c		{color=#888888}{i}В целом, всё было ясно, ночью ко мне вломился какой-то идиот. Зачем? Видимо, с целью украсть чип. Готов поставить на то, что чип сейчас либо у него, либо в ближайшем к нему ломбарде.	game/script.rpy	665	"[what]"
cycle1_a0bb239e		{color=#888888}{i}Посмотрев затем зорким глазом видео с камер, я заметил, что идиот, а идиот он оттого, что его стиль работы явно любительский и даже не предполагает планирование, 	game/script.rpy	666	"[what]"
cycle1_53a90f6e		{color=#888888}{i}влез ко мне не в одиночку, он был в компании своих друзей-идиотов. Все они были в масках, но какой от них толк, если ты идиот и даже не допускаешь возможность того, что на тебя смогут выйти через имплант.	game/script.rpy	667	"[what]"
cycle1_4c8e5850		{color=#888888}{i}Для этого мне нужен Паяц.	game/script.rpy	669	"[what]"
cycle1_539dd3fc	p	 Опять ты, чувак? 	game/script.rpy	676	p "[what]"
cycle1_69c72508		 Хочешь услышать анекдот? 	game/script.rpy	677	"[what]"
cycle1_d364228b	p	 А он смешной? 	game/script.rpy	678	p "[what]"
cycle1_5ecca834		 Обоссышься... 	game/script.rpy	679	"[what]"
cycle1_c93fcda3	p	 ... 	game/script.rpy	680	p "[what]"
cycle1_96209691		 Чип украли. 	game/script.rpy	681	"[what]"
cycle1_09ed5aec	p	 Что-то мне не смешно. 	game/script.rpy	682	p "[what]"
cycle1_957b37d7		 А я и не говорил, что будет смешно. 	game/script.rpy	683	"[what]"
cycle1_925d2868	p	 Если груз не будет доставлен, то нам конец. 	game/script.rpy	684	p "[what]"
cycle1_f839fd3c		 Выкрутимся. 	game/script.rpy	685	"[what]"
cycle1_61f4613d	p	 Нет, ты меня немного неправильно понял: конец это тот, который с большой буквы П. 	game/script.rpy	686	p "[what]"
cycle1_de608dbb		 А... 	game/script.rpy	687	"[what]"
cycle1_aa15261a	p	 Что "А"? Думай, давай. 	game/script.rpy	688	p "[what]"
cycle1_fc75b758		 А... А, я просто думаю, как ты так ловко сумел мне всё обосрать. 	game/script.rpy	689	"[what]"
cycle1_9cb5738d	p	 Всё должно было пройти проще, более гладко и более быстро: ты должен был взять чип, отдать его и получить деньги в этот же день, одна нога здесь, другая там. План был прост. 	game/script.rpy	690	p "[what]"
cycle1_eaebe6bd		 Только какой толк от его простоты? Да, план элементарен и что? Будто от этого он становится надёжным? 	game/script.rpy	691	"[what]"
cycle1_507ffcbf	p	 Так точно. План прост, потому и красив. Если план слишком сложен, то всё может пойти наперекосяк. 	game/script.rpy	692	p "[what]"
cycle1_4a5984f8		 Так, чёрт побери, всё и пошло наперекосяк, Паяц, с этим твоим простым планом! Уверен, что всё правильно спланировал?! А?!	game/script.rpy	693	"[what]"
cycle1_e2397b84		 К тому же, "Одна нога здесь, другая там" знаешь когда такое бывает?	game/script.rpy	694	"[what]"
cycle1_599057b8		Когда кто-то наступает на мину и на ней подрывается, а мы сейчас вступили огромную в кучу дерьма, которая вот-вот рванёт, да не просто вступили, а залезли в неё по уши.	game/script.rpy	695	"[what]"
cycle1_1bf6d594		Как тебе такое положение, Паяц, нравится? 	game/script.rpy	696	"[what]"
cycle1_a49aaeec	p	 Так или иначе, я не мог отказаться от этого предложения. 	game/script.rpy	697	p "[what]"
cycle1_83f572c8		 Вот значит, как... 	game/script.rpy	698	"[what]"
cycle1_020f104f	p	 Ко мне пришёл некто, от него несло смертью. Он положил чип на стол и сказал передать Частицу Бога, так он назвал чип, некоему мистеру Молтисанти.	game/script.rpy	699	p "[what]"
cycle1_3ce4b420	p	Сам не знаю, почему он выбрал тебя в качестве курьера. 	game/script.rpy	700	p "[what]"
cycle1_b3598933		 Зато я, кажется, догадываюсь почему. 	game/script.rpy	701	"[what]"
cycle1_5c2eaf36	p	 Расскажи... 	game/script.rpy	702	p "[what]"
cycle1_06d6ec10		 Во мне нет имплантов. 	game/script.rpy	703	"[what]"
cycle1_da8a5c57	p	 Ладно-ладно, достал меня порядком твой надменный сарказм. 	game/script.rpy	704	p "[what]"
cycle1_76e92508		 Я серьёзно. Наномашин в моей крови тоже нет. 	game/script.rpy	705	"[what]"
cycle1_09f6c59f	p	 Этого быть не может. Не верю. 	game/script.rpy	706	p "[what]"
cycle1_b979af1a		 Я уколов боюсь... Наномашины вводились всем через иглу, вместе с медикаментами, так?	game/script.rpy	707	"[what]"
cycle1_a24f887f		А я всегда от инъекций косил. Ты не представляешь, насколько изобретательным нужно быть, насколько нужно напрягать мозг, чтобы каждый раз находить отмазки. 	game/script.rpy	708	"[what]"
cycle1_eaf8842f	p	 То-есть ты хочешь сказать, что ты полностью невидим для системы из-за боязни уколов? Почему ты раньше об этом не говорил? 	game/script.rpy	709	p "[what]"
cycle1_cc992b3d		 Не видел в этом смысла. 	game/script.rpy	710	"[what]"
cycle1_0b74f213	p	 А теперь видишь? 	game/script.rpy	711	p "[what]"
cycle1_b3b272ab		 А теперь мы в жопе, Паяц, и я активно ищу из неё выход. 	game/script.rpy	712	"[what]"
cycle1_c93fcda3_1	p	 ... 	game/script.rpy	713	p "[what]"
cycle1_8dbb136d		 Насчёт "мистера Молтисанти": он имел ввиду Серхио Молтисанти. Итало-мексиканец, участвует в предвыборной гонке, вероятно хочет воспользоваться подвернувшимся ему шансом.	game/script.rpy	714	"[what]"
cycle1_12b5343a		Хотя, кто после такого масштабного скандала не хочет? Харт отлетел и больше к нам не вернётся, самое время рвать, пока не проснулись остальные. 	game/script.rpy	715	"[what]"
cycle1_d2cdfa66	p	 Окей, но, чувак, чем ему может быть полезен чип в предвыборной гонке? 	game/script.rpy	716	p "[what]"
cycle1_9728896b		 Хрен его знает. Предположу, что это следствие того, что Серхио предельно религиозный политик. Может быть, он и вправду верит во всю эту байду, что несёт с трибун, кто знает?	game/script.rpy	717	"[what]"
cycle1_ba6222ca		Так или иначе, вряд ли ему по какой-то другой причине понадобилось нечто, названное Частицей Бога. 	game/script.rpy	718	"[what]"
cycle1_c93fcda3_2	p	 ... 	game/script.rpy	719	p "[what]"
cycle1_7ca01c0c		 Давай к делу, пробей этих взломщиков-любителей, пока нам трындец не наступил. 	game/script.rpy	720	"[what]"
cycle1_f3c1bd66	p	 Уже, чувак. 	game/script.rpy	721	p "[what]"
cycle1_a24d95cd		 Рассказывай тогда. Кто они? Уличная банда? 	game/script.rpy	722	"[what]"
cycle1_5436fa92	p	 Ага, "Карапузы". 	game/script.rpy	723	p "[what]"
cycle1_a5fa79f0		 Лажа какая-то, не пойму... Это они так сами себя назвали? 	game/script.rpy	724	"[what]"
cycle1_c44f10bf	p	 Наверное. Только, ты, чувак, на их название не смотри, они тебя в два счета размотают, имплантов-то у тебя совсем нет, как оказалось.	game/script.rpy	725	p "[what]"
cycle1_726592de	p	Что ты с ними делать будешь? 	game/script.rpy	726	p "[what]"
cycle1_8057d8d2		 С этим я уж как-нибудь разберусь. 	game/script.rpy	727	"[what]"
cycle1_d118ccd9		{color=#888888}{i} Что делать? Я же ведь совсем не хочу, чтобы из моего языка сделали колумбийский галстук.	game/script.rpy	732	"[what]"
cycle1_d7e33ade		{color=#888888}{i} Самой обсуждаемой новостью сегодня было сообщение об аварии, в которую попал Харт. Бюро обнародовало переписки, чеки и всю чёрную бухгалтерию Фаррелла.	game/script.rpy	736	"[what]"
cycle1_ed4c2620		{color=#888888}{i}Там даже для меня нашлись сюрпризы, я вот, например, не знал, что Харт в течении двадцати лет продвигал в разные компании своих людей.	game/script.rpy	737	"[what]"
cycle1_c011f612		{color=#888888}{i}Что происходило дальше, думаю, объяснять не имеет смысла, больше этих компаний нет.	game/script.rpy	738	"[what]"
cycle1_d77eeab8		{color=#888888}{i}Видимо, осознавая неотвратимость надвигающейся лавины, Харт употребил весь свой арсенал стимуляторов, и, пожалуй, алкоголь был из них самым безобидным.	game/script.rpy	739	"[what]"
cycle1_6a10efd7		{color=#888888}{i}Когда эффект от применения стимуляторов ударил ему в голову, он въехал в столб	game/script.rpy	740	"[what]"
cycle1_f360772c		{color=#888888}{i}Вскоре Харт уйдет с президентского поста. Да, он сделал немало хорошего в течение своего срока.	game/script.rpy	741	"[what]"
cycle1_3b1d6078		{color=#888888}{i}Но запомнят его именно за это, даже не за Денвергейт, так журналисты назвали этот скандал, а за этот нелепый случай пьяного вождения	game/script.rpy	742	"[what]"
cycle1_cc60b43f		{color=#888888}{i} Пока я размышлял, чёрный автомобиль перегородил мне дорогу. Открылась дверь, а за ней виднелась рука.	game/script.rpy	745	"[what]"
cycle1_b40ed90f	cm	Присаживайтесь.	game/script.rpy	746	cm "[what]"
cycle1_f637bd1d		Я сейчас сильно занят, не могу.	game/script.rpy	747	"[what]"
cycle1_9973ffd3	cm	Я настаиваю.	game/script.rpy	748	cm "[what]"
cycle1_d9f47b41		Ладно.	game/script.rpy	749	"[what]"
cycle1_c684d20a	cm	Меня интересует статус груза, посылки, которую вы мне должны доставить. Она у вас?	game/script.rpy	752	cm "[what]"
cycle1_e42ab932		Прямо сейчас — нет...	game/script.rpy	753	"[what]"
cycle1_95c3c840	cm	...	game/script.rpy	754	cm "[what]"
cycle1_18eaf9ac		Но мне её уже передали.	game/script.rpy	755	"[what]"
cycle1_c7780de2	cm	Доставите посылку сегодня. До вечера.	game/script.rpy	756	cm "[what]"
cycle1_928fa27e		{color=#888888}{i} Визит заказчика меня не обрадовал.	game/script.rpy	761	"[what]"
cycle1_f1af1b07		{color=#888888}{i}Ещё больше самого факта визита меня тревожила его заинтересованность в получении чипа, это уже не похоже на влияние только религиозности, за его намерениями кроется что-то ещё.	game/script.rpy	762	"[what]"
cycle1_5a16569e		{color=#888888}{i}Позвонив одному своему знакомому, я выяснил, что Молтисанти снял свою кандидатуру и решил не принимать участие в выборах.	game/script.rpy	763	"[what]"
cycle1_5a09ae73		{color=#888888}{i}Знание этого натолкнуло меня на тревожные мысли. Я знал, что Молтисанти раньше работал на PANGAEA, знал, что у него есть множество друзей в Африке, а также много денег, и, что самое главное, доступ к оружию.	game/script.rpy	764	"[what]"
cycle1_8e835554		{color=#888888}{i}После 2045-го он занимался "коллекционированием" оружия. Когда война закончилась и PANGAEA всех разом прижала, развитые страны начали сливать оружие буквально за копейки.	game/script.rpy	765	"[what]"
cycle1_ec4ccf90		{color=#888888}{i}Этим и воспользовался Серхио, затарив всё, что плохо лежало, себе на многочисленные склады, которые он арендовал прямо у PANGAEA.	game/script.rpy	766	"[what]"
cycle1_ae2a356e		{color=#888888}{i}В PANGAEA либо не замечали этого, либо предпочитали закрывать на это глаза, ссылаясь на то, что Серхио, простой мексиканский спекулянт, который скупает оружие по всему миру и продаёт Африке.	game/script.rpy	767	"[what]"
cycle1_e2f48656		{color=#888888}{i}До дня сегодняшнего я тоже так думал.	game/script.rpy	768	"[what]"
cycle1_fb9f2fce		{color=#888888}{i}Боюсь, я был неправ.	game/script.rpy	769	"[what]"
cycle1_fafecc10		{color=#888888}{i} Дверь в апартаменты была открыта, даже взламывать не пришлось. Апартаменты пусть и нельзя было назвать притоном, всё же впечатление жилья представителей среднего класса они не вызывали.	game/script.rpy	776	"[what]"
cycle1_77934536		{color=#888888}{i}Место дурное и пахло здесь противно, мне хотелось поскорее уйти...	game/script.rpy	777	"[what]"
cycle1_6e717089		{color=#888888}{i}Но вдруг я обнаружил труп, труп совсем недавно был главарём банды идиотов, то-есть Карапузов, если я правильно понял, а рядом с трупом лежал чип. Тот самый чип.	game/script.rpy	778	"[what]"
cycle1_34c55c7b		{color=#888888}{i}Ничего не понимаю... Это цирк какой-то...	game/script.rpy	779	"[what]"
cycle1_cd3729a3	k1	Опача, ты кто, мужик? Кем будешь?	game/script.rpy	784	k1 "[what]"
cycle1_410aaaf2		{i}...а вот и клоуны.	game/script.rpy	787	"[what]"
cycle1_a1bea0c2		Я, детки, потерпевший.	game/script.rpy	788	"[what]"
cycle1_ebfc8ee6	k2	Гы, терпила, значит. Чё надо?	game/script.rpy	789	k2 "[what]"
cycle1_073010fd		Да так, мне бы просто чип забрать.	game/script.rpy	790	"[what]"
cycle1_859d900a	k1	Ты не обнаглел часом?	game/script.rpy	791	k1 "[what]"
cycle1_392405fc		Я просто чип заберу. Хорошо? Не будте гнидами.	game/script.rpy	792	"[what]"
cycle1_f83afdd3	k1	Да я тя щас замочу, дядь!	game/script.rpy	793	k1 "[what]"
cycle1_f5a42d0b		{color=#888888}{i} Я всё же рискнул взять чип, за неимением альтернатив.	game/script.rpy	794	"[what]"
cycle1_64ff3a46		{color=#888888}{i} Выражение лиц клоунов сменилось в моменте с агрессивно-угрожающего на растерянно-нелепое.	game/script.rpy	795	"[what]"
cycle1_75951e02	k1	С-стой, мужик. Давай без обид, л-ладно?	game/script.rpy	796	k1 "[what]"
cycle1_ea84a899		Что?	game/script.rpy	797	"[what]"
cycle1_4572b896		{color=#888888}{i} И тут я понял, почему труп стал трупом.	game/script.rpy	800	"[what]"
cycle1_6d374f8f		{color=#888888}{i}Видимо, когда главарь банды идиотов дотронулся голыми руками до чипа — его конвертировало в кадавра, зажмурило, убило короче.	game/script.rpy	801	"[what]"
cycle1_7d3afce8		{color=#888888}{i}И вот теперь они выпученными глазами наблюдают за тем, как я держу чип. Не знаю, о чём они сейчас думают, но явно не о том, как его отобрать.	game/script.rpy	802	"[what]"
cycle1_1034f4cd		{color=#888888}{i} Всё складывается замечательно.	game/script.rpy	803	"[what]"
cycle1_56e6b21e		Зачем чип украли?	game/script.rpy	808	"[what]"
cycle1_16ca7413	k1	Мы, это, подумали: "Раз лежит, то почему бы не взять". В металлолом, типа, его сдать хотели.	game/script.rpy	809	k1 "[what]"
cycle1_f672ddb7		Ну, пацаны, я смотрю, вы умны не по годам. Вас, кстати, в детстве арматурой по голове били?	game/script.rpy	810	"[what]"
cycle1_83ddca3a	k1	Чё? Какой арматурой?	game/script.rpy	811	k1 "[what]"
cycle1_02120990		Да вот, просто смотрю на вас и понимаю, что естественный отбор больше не работает.	game/script.rpy	812	"[what]"
cycle1_8049966d	k1	...	game/script.rpy	813	k1 "[what]"
cycle1_0b05a420		Я пойду?	game/script.rpy	814	"[what]"
cycle1_5a8c5b1f	k1	Да-да, и-иди-иди.	game/script.rpy	815	k1 "[what]"
cycle1_a3d1ba2c		{color=#888888}{i} Чип при мне, моя главная задача на данный момент — не посеять его.	game/script.rpy	820	"[what]"
cycle1_c170271b		{color=#888888}{i} Мне назначили встречу на поздний вечер, именно тогда я должен буду передать чип.	game/script.rpy	826	"[what]"
cycle1_369fdde0		{color=#888888}{i}Ничего сложного: передам чип — получу деньги, а затем смоюсь куда подальше, мне всё это надоело.	game/script.rpy	827	"[what]"
cycle1_4a9596a6		{color=#888888}{i}Молтисанти определённо использует этот чип в своих интересах, несмотря на возможные ужасные последствия, но я не собираюсь в это вмешиваться, не моё это дело	game/script.rpy	828	"[what]"
cycle1_b88a5642		{color=#888888}{i}Я просто курьер, меня наняли для того, чтобы я выполнил работу.	game/script.rpy	829	"[what]"
cycle1_56d8aca1		{color=#888888}{i}Время ожидания будет тянуться невыносимо долго, нужно себя занять чем-нибудь на ближайшие часы, чтобы дурные мысли не напрягали. К счастью, я сейчас в наиболее подходящем для убийства времени месте.	game/script.rpy	830	"[what]"
after_game_86720b33		{color=#888888}{i} Чудом я умудрился не потерять чип. Теперь дело за малым — отдать устройство заказчику и забыть этот день как страшный сон.	game/script.rpy	848	"[what]"
after_game_497c06a7		Здравствуйте, мне нужно к мистеру Молтисанти, для него есть посылка. Вы, наверное, его экономка...	game/script.rpy	853	"[what]"
after_game_7992ef2a	c	Секретарша.	game/script.rpy	854	c "[what]"
after_game_1ae03ae5		Вы бы не могли проводить меня к нему или хотя бы сообщить о моем прибытии?	game/script.rpy	855	"[what]"
after_game_fd801b05	c	Увы, но это невозможно. Господин Молтисанти... скончался прямо перед вашим приходом.	game/script.rpy	856	c "[what]"
after_game_1272a53f		{color=#888888}{i} Интересно. Неужели это значит, что с меня снимается обязательство по доставке чипа?	game/script.rpy	857	"[what]"
after_game_cebb458c	c	Вы что-то говорили про посылку. Это ценная вещь?	game/script.rpy	858	c "[what]"
say1_25aea29e		Ага... чип.	game/script.rpy	867	"[what]"
say1_642b62d8	c	Вы можете отдать его мне.	game/script.rpy	868	c "[what]"
say1_f0f8c81c		{color=#888888}{i} Больно она подозрительная.	game/script.rpy	869	"[what]"
say1_1459e018		Извините, но нет.	game/script.rpy	870	"[what]"
say2_7348205e		Да нет, просто мелочёвка, расходники.	game/script.rpy	874	"[what]"
say2_3b6734d4	c	Вы уверены, что при вас нет ничего ценного? Может вам чего-то не сказали?	game/script.rpy	875	c "[what]"
say2_f0f8c81c		{color=#888888}{i} Больно она подозрительная.	game/script.rpy	876	"[what]"
say2_e1fab000		Нет, это просто расходники.	game/script.rpy	877	"[what]"
say2_d19f855d	c	...	game/script.rpy	878	c "[what]"
cycle1_ending_2c5eaad4		Посылка должна вручаться лично заказчику. Но поскольку заказчик скончался, как вы сказали, посылку придется отправить обратно. Еще раз, соболезную.	game/script.rpy	882	"[what]"
cycle1_ending_53f6ca0d		{color=#888888}{i} Ну, умер и умер, нет — так нет. Видно, не судьба отдать чип, тогда оставлю его себе, а дальше как-нибудь решу, что с ним делать.	game/script.rpy	883	"[what]"
cycle1_ending_a6973a44		{color=#888888}{i}Раз заказчик мертв, то никто не будет меня преследовать из-за этого долбанного чипа. Нет обязательств, можно спать спокойно	game/script.rpy	884	"[what]"
cycle1_ending_61748d8a		{color=#888888}{i} Секретарша вела себя подозрительно, но, с другой стороны, Молтисанти был немолод, это должно было когда-нибудь случиться. Так или иначе, это не моё дело, я не должен об этом беспокоиться.	game/script.rpy	890	"[what]"
cycle1_ending_4837eef1		{color=#888888}{i}Сообщив Паяцу о намерениях уехать ненадолго, я начал собирать немногочисленные вещи, которые хотел перевезти в Европу.	game/script.rpy	891	"[what]"
cycle1_ending_79024895		{color=#888888}{i}Да, у меня есть квартира в восточной Европе, её я когда-то давно выиграл в споре у одного румына, не совсем честно выиграл, но тем не менее.	game/script.rpy	892	"[what]"
cycle1_ending_5519b142		{color=#888888}{i} Составляя план досуга, я просидел до ночи, а затем провалился в сон.	game/script.rpy	893	"[what]"
